Temperature,L,R,A_M,mass,Type
7044.130880250591,9.17,0.5079450202552388,2.538,12.012699999999999,Dwarf
6317.202555142311,3.38,0.34386898244901926,3.712,1.6320571428571427,Other
6595.421995871784,6.3,0.4496629881320572,2.992,5.67,Dwarf
5394.78435092707,20.14,0.9829130468832663,1.879,57.94565714285715,Dwarf
6547.222484879559,6.48,0.4593988032259531,2.951,5.998628571428573,Dwarf
6326.068295373748,12.89,0.6705822261366375,2.187,23.736014285714287,Dwarf
5347.895072184639,0.63,0.17536658822314252,5.656,0.05670000000000001,Dwarf
6504.489755441917,7.87,0.5096048914120218,2.748,8.848128571428571,Dwarf
6950.232159734053,11.37,0.5732451333794435,2.257,18.46812857142857,Other
5905.594296749442,8.12,0.5701299578798796,2.756,9.419199999999998,Dwarf
6166.275261730199,4.06,0.3860997894974989,3.459,2.3547999999999996,Dwarf
5097.730697693218,0.47,0.15890278020887613,6.033,0.03155714285714285,Dwarf
6299.551258613002,2.02,0.26657874949051935,4.219,0.5829142857142857,Other
10752.091303165967,116.42,1.1857149880154236,-0.013,1936.2309142857143,Giant
6411.652778824934,14.44,0.7002821510903585,2.077,29.787657142857142,Other
5702.764173000684,1.84,0.2810495891133656,4.41,0.4836571428571429,Dwarf
6103.941117972312,2.21,0.28776982789120026,4.226,0.6977285714285715,Dwarf
5807.8155524491185,0.66,0.1652793545366265,5.508,0.06222857142857143,Dwarf
6388.888888888889,9.62,0.5736165280509232,2.496,13.220628571428568,Dwarf
5894.132132217435,2.0,0.2835009941089551,4.322,0.5714285714285714,Dwarf
6944.7933531057115,31.21,0.9504888191573224,1.155,139.1520142857143,Other
5320.175641469432,0.89,0.20952144886564958,5.25,0.11315714285714286,Dwarf
5763.846987374812,8.25,0.5888083862338445,2.74,9.723214285714286,Dwarf
5944.149606353677,1.12,0.21036754345974534,4.899,0.17920000000000003,Dwarf
6191.594696560383,84.52,1.7544325667017835,0.166,1020.5186285714284,Dwarf
5890.322012321262,0.8,0.179417752350231,5.278,0.09142857142857144,Dwarf
12066.238528971358,317.35,1.7444430697505424,-0.632,14387.288928571432,Giant
6030.905632789332,31.02,1.091183573260235,1.321,137.46291428571428,Other
4912.167284243307,0.07,0.06364075561193257,8.107,0.0007000000000000001,Other
5636.113022413328,0.67,0.17159995259499006,5.449,0.06412857142857144,Dwarf
6145.345417921852,6.41,0.48679058698106864,2.973,5.869728571428572,Dwarf
6238.600489616528,6.48,0.48212514633912734,2.955,5.998628571428573,Dwarf
5028.804089770287,0.43,0.1540738612768954,6.152,0.026414285714285713,Other
8304.980143006806,36.65,0.8613067421703838,0.952,191.88892857142855,Dwarf
7367.846405765911,6.21,0.39963608158391667,2.946,5.509157142857142,Dwarf
6312.77973184805,10.91,0.6182315934490088,2.402,17.004014285714288,Other
7349.352390049395,2.79,0.2685421649027032,3.774,1.1120142857142858,Dwarf
5959.723556610094,3.22,0.3557634075871748,3.757,1.4812,Other
6467.008184872978,14.73,0.7012250442834408,1.961,30.996128571428574,Dwarf
5901.768262850707,2.23,0.29897146162087274,4.145,0.7104142857142858,Dwarf
6273.272881143872,10.51,0.6106138269906447,2.438,15.780014285714286,Dwarf
4766.876781934012,0.47,0.16993172210567106,6.19,0.03155714285714285,Other
6770.355529079559,4.79,0.3819581113280825,3.266,3.2777285714285713,Dwarf
6600.28425298352,4.73,0.38933853150736036,3.226,3.1961285714285723,Dwarf
5830.070651083036,3.16,0.36027089571261534,3.801,1.4265142857142858,Other
7140.835626793466,5.87,0.40089392031556104,2.965,4.922414285714287,Dwarf
7140.835626793466,17.72,0.6965339321421042,1.762,44.856914285714275,Dwarf
6116.299236564012,2.9,0.3289801769033684,3.845,1.2014285714285715,Dwarf
6874.921300446744,8.62,0.5045978057232571,2.608,10.614914285714283,Dwarf
5341.708650122388,0.75,0.19156223286834154,5.455,0.08035714285714286,Dwarf
10752.091303165967,122.52,1.2163820597998092,-0.07,2144.450057142857,Dwarf
5465.163391615079,1.86,0.29485790621431707,4.457,0.4942285714285715,Dwarf
5905.594296749442,1.81,0.26917525597805764,4.378,0.4680142857142857,Dwarf
6848.452201524804,5.34,0.3986921229342059,3.092,4.073657142857143,Dwarf
6212.866018193694,8.85,0.5657689419053243,2.624,11.188928571428571,Other
7129.308654643922,31.28,0.9269267393253228,1.097,139.7769142857143,Giant
5940.269764295265,2.19,0.29435766227285914,4.186,0.6851571428571429,Dwarf
6429.990488239978,7.09,0.48929665055680777,2.837,7.181157142857143,Other
4549.703515239823,52.66,1.8845895847861966,1.174,396.15365714285707,Giant
5815.213657459187,1.1,0.2131032742267051,4.942,0.17285714285714288,Other
5924.804618432884,3.16,0.3545103865533164,3.779,1.4265142857142858,Dwarf
6654.286202145474,9.12,0.5362352987346208,2.57,11.88205714285714,Dwarf
6765.217713727657,7.92,0.4915189533151813,2.661,8.960914285714285,Dwarf
4623.532987288598,58.61,1.9564617243380011,1.018,490.7331571428571,Giant
6490.379226503312,7.03,0.48268860377729933,2.817,7.060128571428572,Dwarf
5845.009272413325,5.25,0.463184377606072,3.305,3.9375,Dwarf
5420.15213524512,0.54,0.16019348847573062,5.856,0.04165714285714286,Dwarf
6504.489755441917,7.54,0.498806259347547,2.722,8.121657142857142,Other
5692.1283528279655,1.88,0.2846188737880937,4.39,0.5049142857142856,Dwarf
6170.479670332324,4.55,0.4084568918492606,3.29,2.9574999999999996,Dwarf
5567.728737397792,0.99,0.21115384055357825,5.088,0.1400142857142857,Dwarf
4121.437437632341,13.0,1.0336712093820757,2.913,24.142857142857142,Other
